,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
4,Bavegem,Maison,,250000.0,notariale,5,110,0,0,0,,,1,,,,,0,,,674,https://www.zimmo.be/fr/bavegem-9520/a-vendre/maison/JXPBI/
5,Melle,Terrain,Terrain à bâtir,304000.0,notariale,0,,0,0,0,,,0,,,930,4,0,,,,https://www.zimmo.be/fr/melle-9090/a-vendre/terrain/JX6LD/
6,Zulte,Maison,,275000.0,notariale,5,,0,0,0,,,1,,,,3,0,,1993,265,https://www.zimmo.be/fr/zulte-9870/a-vendre/maison/JXPB7/
7,,Terrain,Terrain à bâtir,,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/zulte-9870/a-vendre/terrain/JXPEH/
8,Gent,Appartement,,369000.0,notariale,3,93,0,0,0,True,5,0,,,,2,0,,1972,182,https://www.zimmo.be/fr/gent-9000/a-vendre/appartement/JXPCT/
9,Denderleeuw,Appartement,,189000.0,notariale,5,,0,0,0,,,0,,,,2,0,,,254,https://www.zimmo.be/fr/denderleeuw-9470/a-vendre/appartement/JPHPZ/
0,Gentbrugge,Bien professionnel,Bureaux,1421569,notariale,0,468,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/gentbrugge-9050/a-vendre/bien-professionnel/JRGZU/
1,Sint-Niklaas,Appartement,Studio avec coin lit,152500,notariale,2,53,0,0,0,True,6,0,,,,,0,old,2021,,https://www.zimmo.be/fr/sint-niklaas-9100/a-vendre/appartement/JRGRH/
2,Sint-Niklaas,Appartement,,208500,notariale,3,71,0,0,0,True,16,0,,,,,0,old,2021,,https://www.zimmo.be/fr/sint-niklaas-9100/a-vendre/appartement/JRGRG/
3,Sint-Niklaas,Appartement,,171300,notariale,2,59,0,0,0,True,7,0,,,,,0,old,2021,,https://www.zimmo.be/fr/sint-niklaas-9100/a-vendre/appartement/JRGRI/
4,Ninove,Appartement,,215000,notariale,4,,0,0,0,,,0,,,,,0,old,1996,293,https://www.zimmo.be/fr/ninove-9400/a-vendre/appartement/JRGQP/
5,Heusden,Bien professionnel,Commerce,224950,notariale,0,,0,0,0,,,0,254,,,,0,,,,https://www.zimmo.be/fr/heusden-9070/a-vendre/bien-professionnel/JRGOT/
6,Haaltert,Appartement,Duplex,235000,notariale,3,101,0,0,0,,,0,,,,,0,old,2020,,https://www.zimmo.be/fr/haaltert-9450/a-vendre/appartement/JRFXI/
7,Haaltert,Appartement,Duplex,235000,notariale,3,94,0,0,0,,,0,,,,,0,old,2019,,https://www.zimmo.be/fr/haaltert-9450/a-vendre/appartement/JRFXK/
8,Lede,Appartement,App. rez-de-chaussée,339500,notariale,4,118,0,0,0,True,17,1,,,288,3,0,old,2021,,https://www.zimmo.be/fr/lede-9340/a-vendre/appartement/JRFJ9/
9,Lede,Appartement,Penthouse,398500,notariale,3,118,0,0,0,True,51,0,,,170,4,0,old,2021,,https://www.zimmo.be/fr/lede-9340/a-vendre/appartement/JRFJB/
0,Merelbeke,Maison,,390000.0,notariale,5,195,0,0,0,,,0,,,471,2,0,,,,https://www.zimmo.be/fr/merelbeke-9820/a-vendre/maison/JWZBD/
1,Brakel,Maison,,535000.0,notariale,8,440,0,0,0,True,55,0,,,031,4,0,old,2010,163,https://www.zimmo.be/fr/brakel-9660/a-vendre/maison/JWZB9/
2,Aalter,Maison,,275000.0,notariale,3,,0,0,0,,,0,,,,4,0,,,114,https://www.zimmo.be/fr/aalter-9880/a-vendre/maison/JWZ9X/
3,,Bien professionnel,Bâtiment d’entreprise,,notariale,0,450,0,0,0,,,0,,,600,,0,old,2012,,https://www.zimmo.be/fr/evergem-9940/a-vendre/bien-professionnel/JWZ2W/
4,,Bien professionnel,Bureaux,,notariale,0,450,0,0,0,,,0,,,600,,0,old,2012,,https://www.zimmo.be/fr/evergem-9940/a-vendre/bien-professionnel/JWZ2X/
5,Gent,Appartement,,185000.0,notariale,3,78,0,0,0,,,0,,,,2,0,,,137,https://www.zimmo.be/fr/gent-9000/a-vendre/appartement/JWZ45/
6,Mariakerke,Garage,Place de stationnement,27000.0,notariale,0,,0,0,0,,,0,,,,,0,old,2023,,https://www.zimmo.be/fr/mariakerke-9030/a-vendre/garage/JWZ3V/
7,Knesselare,Maison,Bel-étage,289000.0,notariale,5,160,0,0,0,,,0,,,,2,0,,2010,,https://www.zimmo.be/fr/knesselare-9910/a-vendre/maison/JWYYU/
8,Eeklo,Bien professionnel,Rez-de-chaussée commercial,398500.0,notariale,1,305,0,0,0,,,0,,,350,,0,,,,https://www.zimmo.be/fr/eeklo-9900/a-vendre/bien-professionnel/JWYX8/
9,Sint-Gillis-Waas,Maison,,180000.0,notariale,4,,0,0,0,,,0,,,230,4,0,,,298,https://www.zimmo.be/fr/sint-gillis-waas-9170/a-vendre/maison/JWYU1/
0,Gent,Maison,,574000,notariale,5,150,0,0,0,,,1,,,107,2,0,,,,https://www.zimmo.be/fr/gent-9000/a-vendre/maison/IJBA5/
1,Gent,Maison,,574000,notariale,4,52,0,0,0,,,1,,,52,2,0,,,,https://www.zimmo.be/fr/gent-9000/a-vendre/maison/IJBA0/
2,Gent,Maison,,610000,notariale,3,18,0,0,0,,,1,,,09,2,0,,,,https://www.zimmo.be/fr/gent-9000/a-vendre/maison/IJBAA/
3,Renaix,Appartement,,234500,notariale,3,70,0,0,0,True,37,0,,,07,2,0,old,2019,,https://www.zimmo.be/fr/renaix-9600/a-vendre/appartement/IIMY6/
4,Wondelgem,Garage,Place de stationnement,19500,notariale,0,,0,0,0,,,1,,,15,,0,old,2016,,https://www.zimmo.be/fr/wondelgem-9032/a-vendre/garage/II5SJ/
5,Wondelgem,Garage,Place de stationnement,44500,notariale,0,,0,0,0,,,1,,,55,2,0,old,2016,,https://www.zimmo.be/fr/wondelgem-9032/a-vendre/garage/II5S4/
6,Wondelgem,Garage,Place de stationnement,29500,notariale,0,,0,0,0,,,1,,,18,,0,old,2016,,https://www.zimmo.be/fr/wondelgem-9032/a-vendre/garage/II5S9/
7,Beveren-Waas,Bien professionnel,Entrepôt avec habitation,595000,notariale,10,018,0,0,0,,,0,,,646,2,0,,,551,https://www.zimmo.be/fr/beveren-waas-9120/a-vendre/bien-professionnel/IHQ3Y/
8,Aalst,Bien professionnel,Friterie,337000,notariale,1,,0,0,0,True,40,0,137,310,447,4,0,new,,,https://www.zimmo.be/fr/aalst-9300/a-vendre/bien-professionnel/IFCLH/
9,Sint-Niklaas,Appartement,Loft,460000,notariale,4,,0,0,0,,,0,,,,,0,old,2019,,https://www.zimmo.be/fr/sint-niklaas-9100/a-vendre/appartement/IF3JN/
0,Haaltert,Maison,,229000,notariale,5,170,0,0,0,,,1,,,,2,0,,,393,https://www.zimmo.be/fr/haaltert-9450/a-vendre/maison/JY40Z/
1,Aalst,Appartement,,164000,notariale,3,78,0,1,0,,,0,,,,2,0,,1966,209,https://www.zimmo.be/fr/aalst-9300/a-vendre/appartement/JY3M4/
2,Herzele,Maison,,499000,notariale,7,,0,0,0,,,1,,,,3,0,,2017,133,https://www.zimmo.be/fr/herzele-9551/a-vendre/maison/JY3N4/
3,Erpe-Mere,Maison,,695000,notariale,5,206,0,0,0,True,80,1,,,,4,0,,1990,327,https://www.zimmo.be/fr/erpe-mere-9420/a-vendre/maison/JY3N5/
4,Renaix,Maison,,235000,notariale,5,205,0,0,0,,,1,,,,3,0,,,913,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JY3KJ/
5,Maldegem,Appartement,,209000,notariale,3,88,0,0,0,,,0,,,,2,0,,2002,245,https://www.zimmo.be/fr/maldegem-9990/a-vendre/appartement/JY3LA/
6,Zomergem,Bien professionnel,Bien commercial,190000,notariale,1,101,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/zomergem-9930/a-vendre/bien-professionnel/JY3L9/
7,Renaix,Maison,,315000,notariale,7,150,0,0,0,,,1,,,,3,0,,,415,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JY3KA/
8,Renaix,Maison,,315000,notariale,7,150,0,0,0,,,1,,,,3,0,,,415,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JY3KB/
9,Renaix,Maison,,260000,notariale,5,150,0,0,0,,,1,,,,3,0,,,187,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JY3K8/
0,Brakel,Maison,,398000,notariale,6,150,0,0,0,,,1,,,,,0,,,,https://www.zimmo.be/fr/brakel-9660/a-vendre/maison/JXY6M/
1,Brakel,Maison,,398000,notariale,6,150,0,0,0,,,1,,,,,0,,,,https://www.zimmo.be/fr/brakel-9660/a-vendre/maison/JXY6N/
2,Wanzele,Terrain,Terrain à bâtir,147400,notariale,0,,0,0,0,,,0,,,,3,0,,,,https://www.zimmo.be/fr/wanzele-9340/a-vendre/terrain/JXY5X/
3,Renaix,Maison,,99000,notariale,3,80,0,0,0,,,0,,,,3,0,,,988,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JXY2C/
4,Oudenaarde,Maison,Fermette,550000,notariale,5,365,0,0,0,,,1,,,,4,0,,1978,554,https://www.zimmo.be/fr/oudenaarde-9700/a-vendre/maison/JXY27/
5,Renaix,Maison,,105000,notariale,3,100,0,0,0,,,0,,,,2,0,,1918,516,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JXY29/
6,Landegem,Appartement,,279500,notariale,4,101,0,0,0,,,0,,,,,0,,2020,,https://www.zimmo.be/fr/landegem-9850/a-vendre/appartement/JXY0I/
7,Aalst,Maison,,270000,notariale,5,177,0,0,0,True,35,1,,,,3,0,,1958,479,https://www.zimmo.be/fr/aalst-9300/a-vendre/maison/JXY0H/
8,Gent,Maison,,495000,notariale,5,206,0,0,0,,,0,,,,3,0,,,181,https://www.zimmo.be/fr/gent-9000/a-vendre/maison/JXXW5/
9,Eeklo,Maison,,285000,notariale,6,,0,0,0,,,1,,,,3,0,,1958,670,https://www.zimmo.be/fr/eeklo-9900/a-vendre/maison/JXXW1/
0,Renaix,Maison,,159500,notariale,3,100,0,0,0,,,1,,,120,3,0,,,,https://www.zimmo.be/fr/renaix-9600/a-vendre/maison/JXGOV/
1,Gent,Bien professionnel,Bureaux,649000,notariale,10,335,0,0,0,,,0,,,121,2,0,old,1933,415,https://www.zimmo.be/fr/gent-9000/a-vendre/bien-professionnel/JXGLF/
2,Gent,Maison,,649000,notariale,10,335,0,0,0,,,0,,,121,2,0,old,1933,415,https://www.zimmo.be/fr/gent-9000/a-vendre/maison/JXGL7/
3,Maarkedal,Maison,,375000,notariale,8,183,0,0,0,,,1,206,507,713,4,0,new,1972,288,https://www.zimmo.be/fr/maarkedal-9680/a-vendre/maison/JX526/
4,Temse,Maison,Maison deux facades,130000,notariale,3,100,0,0,0,,,0,50,0,50,,0,,,193,https://www.zimmo.be/fr/temse-9140/a-vendre/maison/JXGL3/
5,Ertvelde,Terrain,Terrain à bâtir,275000,notariale,0,,0,0,0,,,0,,,110,4,0,,,,https://www.zimmo.be/fr/ertvelde-9940/a-vendre/terrain/JXGHH/
6,Ninove,Appartement,,177500,notariale,4,74,0,0,0,,,1,,,74,,0,old,1979,341,https://www.zimmo.be/fr/ninove-9400/a-vendre/appartement/JXGKE/
7,Zwalm,Maison,,525000,notariale,10,450,0,0,0,,,1,,,622,4,0,,,,https://www.zimmo.be/fr/zwalm-9630/a-vendre/maison/JXGK6/
8,Zwalm,Maison,,315000,notariale,7,210,0,0,0,,,0,,,555,3,0,old,1965,482,https://www.zimmo.be/fr/zwalm-9630/a-vendre/maison/JXGK5/
9,Aalst,Maison,Maison deux facades,379000,notariale,8,,0,0,0,,,0,,,290,,0,new,1968,379,https://www.zimmo.be/fr/aalst-9300/a-vendre/maison/JXGK4/
0,Eeklo,Terrain,Terrain à bâtir,215000.0,notariale,0,,0,0,0,,,1,,,906,4,0,,,,https://www.zimmo.be/fr/eeklo-9900/a-vendre/terrain/JWG5O/
1,Ninove,Appartement,,219000.0,notariale,4,,0,0,0,True,30,0,,,,2,0,old,2011,100,https://www.zimmo.be/fr/ninove-9400/a-vendre/appartement/JWG58/
2,Gent,Maison,,230000.0,notariale,3,80,0,0,0,,,0,,,40,2,0,,,315,https://www.zimmo.be/fr/gent-9000/a-vendre/maison/JWFZH/
3,Denderleeuw,Maison,,399000.0,notariale,7,,0,0,0,,,1,,,290,,0,new,1935,,https://www.zimmo.be/fr/denderleeuw-9470/a-vendre/maison/JWFVP/
4,Everbeek,Terrain,,85000.0,notariale,0,,0,0,0,,,0,,,347,,0,,,,https://www.zimmo.be/fr/everbeek-9660/a-vendre/terrain/JWFSK/
5,,,,,,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/steendorp-9140/a-vendre/appartement/JWFQ4/
