,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
3,Antwerpen,Appartement,,298000,notariale,5,114,0,0,0,,,0,,,,2,0,,1960,762,https://www.zimmo.be/fr/antwerpen-2020/a-vendre/appartement/JXQ8H/
4,Antwerpen,Maison,Maison unifamiliale,220000,notariale,2,90,0,1,0,,,1,,,,2,0,,1875,794,https://www.zimmo.be/fr/antwerpen-2060/a-vendre/maison/JXQ8F/
5,Beerse,Maison,,480000,agence,6,,0,0,0,,,0,,,,4,0,,2014,,https://www.zimmo.be/fr/beerse-2340/a-vendre/maison/JXQAR/
6,,Terrain,Terrain à bâtir,100000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/wiekevorst-2222/a-vendre/terrain/JXQ8D/
7,Retie,Appartement,,259000,notariale,6,123,0,0,0,True,7,0,,,,2,0,,2019,,https://www.zimmo.be/fr/retie-2470/a-vendre/appartement/JXQ8A/
8,Heist-op-den-Berg,Terrain,,105000,notariale,0,160,0,0,0,,,0,,,,3,0,,,,https://www.zimmo.be/fr/heist-op-den-berg-2220/a-vendre/terrain/JXQ8C/
9,Geel,Maison,,360000,notariale,6,186,0,0,0,,,0,,,,4,0,,1982,523,https://www.zimmo.be/fr/geel-2440/a-vendre/maison/JXQ8B/
0,Antwerpen,Maison,Maison de ville,595000,notariale,6,,0,0,0,,,1,,,,,0,,,235,https://www.zimmo.be/fr/antwerpen-2018/a-vendre/maison/JW6YV/
1,Deurne,Appartement,,189000,notariale,3,90,0,0,0,,,0,,,,2,0,,,251,https://www.zimmo.be/fr/deurne-2100/a-vendre/appartement/JW6Y6/
2,Brasschaat,Maison,Maison unifamiliale,439000,notariale,6,156,0,0,0,True,24,1,,,635,3,0,old,1958,474,https://www.zimmo.be/fr/brasschaat-2930/a-vendre/maison/JW6YA/
3,Antwerpen,Bien professionnel,Rez-de-chaussée commercial,299000,notariale,0,260,0,0,0,,,0,,,,2,0,new,1948,,https://www.zimmo.be/fr/antwerpen-2000/a-vendre/bien-professionnel/JW6YB/
4,Borgerhout,Appartement,,186000,notariale,3,85,0,0,0,True,10,0,,,,4,0,new,,152,https://www.zimmo.be/fr/borgerhout-2140/a-vendre/appartement/JW6Y4/
5,Antwerpen,Appartement,,174000,notariale,3,85,0,0,0,,,0,,,,2,0,old,1976,186,https://www.zimmo.be/fr/antwerpen-2600/a-vendre/appartement/JW6O8/
6,Heist-op-den-Berg,Maison,,390000,notariale,5,40,0,0,0,,,0,,,199,4,0,old,1957,579,https://www.zimmo.be/fr/heist-op-den-berg-2220/a-vendre/maison/JW6MU/
7,Stabroek,Maison,,500000,notariale,5,273,0,0,0,True,21,1,119,373,492,3,0,old,2022,,https://www.zimmo.be/fr/stabroek-2940/a-vendre/maison/JW6MV/
8,Mechelen,Maison,Usage mixte,469000,notariale,7,,0,0,0,,,0,,,86,2,0,,,251,https://www.zimmo.be/fr/mechelen-2800/a-vendre/maison/JRZLP/
9,Hoboken,Appartement,,199000,notariale,2,75,0,0,0,True,22,0,90,,,3,0,old,1979,270,https://www.zimmo.be/fr/hoboken-2660/a-vendre/appartement/JW6KI/
0,Kontich,Bien professionnel,Complexe de bureaux,1950000.0,notariale,0,883,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/kontich-2550/a-vendre/bien-professionnel/JXB98/
1,Hoboken,Appartement,,255000.0,notariale,3,100,0,0,0,True,20,0,,,,3,0,old,1998,260,https://www.zimmo.be/fr/hoboken-2660/a-vendre/appartement/JXB7W/
2,Mol,Maison,,385000.0,notariale,8,,0,0,0,,,1,,,212,4,0,old,1970,,https://www.zimmo.be/fr/mol-2400/a-vendre/maison/JX9QH/
3,,Terrain,,,agence,0,,0,0,0,,,0,,,210,,0,,,,https://www.zimmo.be/fr/poederlee-2275/a-vendre/terrain/JXB6J/
4,,Maison,,,agence,5,,0,0,0,,,0,,,573,4,0,old,1956,747,https://www.zimmo.be/fr/poederlee-2275/a-vendre/maison/JXB6H/
