,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
4,,Projet,,255000.0,notariale,0,,0,0,0,,,0,,,,,0,,2023,,https://www.zimmo.be/fr/braine-l%27alleud-1420/a-vendre/projet-immobilier/10045I0/
5,Chaumont-Gistoux,Maison,Villa,1450000.0,notariale,13,850,0,0,0,,,0,,,,4,0,,,,https://www.zimmo.be/fr/chaumont-gistoux-1325/a-vendre/maison/JXOBZ/
6,,Projet,,186000.0,notariale,0,,0,0,0,,,0,,,,,0,,2020,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/projet-immobilier/10045WE/
7,Bierges,Maison,,673000.0,notariale,6,190,0,0,0,True,38,1,,,,3,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/maison/JXN87/
8,Bierges,Maison,,682000.0,notariale,7,212,0,0,0,True,57,1,,,,3,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/maison/JXN85/
9,Bierges,Maison,,697000.0,notariale,7,214,0,0,0,True,53,1,,,,3,0,,2022,,https://www.zimmo.be/fr/bierges-1301/a-vendre/maison/JXN86/
0,Waterloo,Garage,,55000.0,notariale,1,24,0,0,0,,,0,,,,,0,,2005,,https://www.zimmo.be/fr/waterloo-1410/a-vendre/garage/JXYQL/
1,Genval,Maison,,465000.0,notariale,6,221,0,0,0,,,1,,,,2,0,,1930,266,https://www.zimmo.be/fr/genval-1332/a-vendre/maison/JXXMG/
2,,Projet,,186000.0,notariale,0,,0,0,0,,,0,,,,,0,,2022,,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/projet-immobilier/10044GY/
3,Lillois-Witterzée,Maison,Maison de ville,525000.0,notariale,6,150,0,0,0,,,0,,,,,0,,,626,https://www.zimmo.be/fr/lillois-witterzee-1428/a-vendre/maison/JXWK5/
4,Bierges,Maison,Villa,1150000.0,notariale,7,360,0,0,0,,,0,,,,,0,,,439,https://www.zimmo.be/fr/bierges-1301/a-vendre/maison/JXWK2/
5,Beauvechain,Maison,,387512.0,notariale,4,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/beauvechain-1320/a-vendre/maison/JXWG6/
6,Beauvechain,Maison,,398298.0,notariale,3,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/beauvechain-1320/a-vendre/maison/JXWG7/
7,Wavre,Appartement,Duplex,245000.0,notariale,3,93,0,0,0,,,0,,,,2,0,,2022,,https://www.zimmo.be/fr/wavre-1300/a-vendre/appartement/JXV3L/
8,Chaumont-Gistoux,Terrain,Terrain agricole,20000.0,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/chaumont-gistoux-1325/a-vendre/terrain/JXV34/
9,Ottignies,Maison,Villa,725000.0,notariale,6,170,0,0,1,True,14,1,,,,4,0,,1972,350,https://www.zimmo.be/fr/ottignies-1340/a-vendre/maison/JXUSQ/
0,Mont-Saint-Guibert,Appartement,,188000.0,notariale,3,46,0,0,0,True,30,1,,,,2,0,old,2022,105,https://www.zimmo.be/fr/mont-saint-guibert-1435/a-vendre/appartement/JW1OI/
1,Bierges,Terrain,Terrain à bâtir,200000.0,notariale,6,313,0,0,0,,,1,,,500,,0,,,,https://www.zimmo.be/fr/bierges-1301/a-vendre/terrain/JVYPF/
2,Marbais,Terrain,Terrain agricole,495000.0,notariale,0,792,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/marbais-1495/a-vendre/terrain/JVUTI/
3,Wavre,Bien professionnel,Entrepôt avec bureau,1495000.0,notariale,0,330,0,0,0,,,0,110,87,197,4,0,old,1987,,https://www.zimmo.be/fr/wavre-1300/a-vendre/bien-professionnel/JVTAG/
4,Orp-Le-Grand,Maison,,349000.0,notariale,4,195,0,0,0,,,0,,,985,,0,old,2021,,https://www.zimmo.be/fr/orp-le-grand-1350/a-vendre/maison/JVSQK/
5,Braine-l'Alleud,Maison,,1050000.0,notariale,10,326,0,0,0,,,0,,,474,4,0,old,2006,192,https://www.zimmo.be/fr/braine-l%27alleud-1420/a-vendre/maison/JVNHQ/
6,,Maison,Château,,notariale,14,350,0,0,0,,,0,,,200,,0,old,,418,https://www.zimmo.be/fr/jauche-1350/a-vendre/maison/JVNB6/
7,Waterloo,Maison,,1060000.0,notariale,7,235,0,0,1,True,40,1,,,600,4,0,old,1999,330,https://www.zimmo.be/fr/waterloo-1410/a-vendre/maison/JVMUH/
8,Jauche,Maison,,850000.0,notariale,8,350,0,0,0,,,0,,,197,3,0,,,418,https://www.zimmo.be/fr/jauche-1350/a-vendre/maison/JVMT7/
9,Incourt,Terrain,Terrain à bâtir,200000.0,notariale,0,,0,0,0,,,0,,,364,4,0,,,,https://www.zimmo.be/fr/incourt-1315/a-vendre/terrain/JVF58/
0,Lasne,Maison,Villa,5750000.0,notariale,18,741,0,0,0,True,73,1,,,000,4,0,new,1944,334,https://www.zimmo.be/fr/lasne-1380/a-vendre/maison/JXCPB/
1,La Hulpe,Appartement,Penthouse,460000.0,notariale,4,140,0,0,0,True,50,0,,,,3,0,old,2002,217,https://www.zimmo.be/fr/la%20hulpe-1310/a-vendre/appartement/JXCCV/
2,Nivelles,Bien professionnel,Commerce,695000.0,notariale,0,,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/nivelles-1400/a-vendre/bien-professionnel/JXBY4/
3,Rixensart,Maison,Villa,1090000.0,notariale,6,400,0,0,1,,,1,,,250,4,0,old,1905,408,https://www.zimmo.be/fr/rixensart-1330/a-vendre/maison/JXBAU/
4,Wavre,Maison,,240000.0,notariale,4,118,0,0,0,,,0,,,68,3,0,,,408,https://www.zimmo.be/fr/wavre-1300/a-vendre/maison/JX95Y/
5,Baisy-Thy,Maison,,445000.0,notariale,6,230,0,0,0,True,50,1,145,715,860,4,0,new,1850,428,https://www.zimmo.be/fr/baisy-thy-1470/a-vendre/maison/JX94N/
6,Nil-Saint-Vincent-Saint-Martin,Terrain,Terrain agricole,175000.0,agence,0,,0,0,0,,,0,,,233,,0,,,,https://www.zimmo.be/fr/nil-saint-vincent-saint-martin-1457/a-vendre/terrain/JX8T1/
