,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state
0,Mortsel,Maison,Maison exceptionnelle,293000.0,notariale,2,100,0,0,0,None,None,0,None,None,223,3,0,old
1,Mol,Maison,Villa,1850000.0,notariale,3,750,0,0,0,None,None,1,None,None,538,4,0,new
2,Antwerpen,Appartement,None,595000.0,notariale,4,149,0,0,0,True,34,0,None,None,183,4,0,None
3,Kapellen,Appartement,None,449000.0,notariale,5,140,0,0,0,None,None,0,None,None,None,3,0,old
4,None,Maison,Villa,None,notariale,9,410,0,0,0,None,None,0,None,None,847,4,0,old
5,Borgerhout,Appartement,None,157500.0,notariale,2,42,0,0,0,None,None,0,None,None,57,2,0,None
6,Vorselaar,Maison,None,319000.0,notariale,4,136,0,0,0,True,10,1,None,None,000,4,0,old
7,Brecht,Maison,Villa,1195000.0,notariale,17,770,0,0,0,None,None,1,None,None,150,4,0,new
8,Antwerpen,Appartement,Duplex,750000.0,notariale,5,282,0,0,0,None,None,0,None,None,None,None,0,None
9,None,Maison,Maison de ville,None,notariale,1,985,0,0,0,None,None,0,None,None,None,2,0,new
0,Antwerpen,Appartement,None,259000,notariale,3,67,0,1,0,True,70,0,None,None,None,2,0,new
1,Mechelen,Maison,Maison unifamiliale,548000,notariale,6,255,0,0,0,None,None,1,None,None,806,4,0,old
2,Willebroek,Maison,Maison unifamiliale,260000,notariale,5,151,0,0,0,None,None,0,None,None,None,2,0,None
3,Hoboken,Maison,Maison unifamiliale,265000,notariale,4,123,0,0,0,None,None,1,None,None,None,2,0,new
4,Borgerhout,Appartement,None,215000,notariale,3,92,0,0,0,True,8,0,None,None,None,2,0,new
5,Deurne,Appartement,None,179000,notariale,3,87,0,0,0,None,None,0,None,None,None,2,0,new
6,Hoboken,Maison,Maison unifamiliale,185000,notariale,3,71,0,0,0,None,None,0,None,None,70,2,0,old
7,Herentals,Maison,Maison unifamiliale,259000,notariale,4,195,0,0,0,None,None,0,None,None,33,2,0,old
8,Niel,Maison,Maison unifamiliale,111000,notariale,3,102,0,0,0,None,None,0,None,None,None,2,0,None
9,None,Maison,Maison deux facades,149000,notariale,5,None,0,0,0,None,None,0,None,None,130,2,0,old
0,Merksplas,Maison,None,315000,agence,5,None,0,0,0,None,None,0,None,None,250,3,0,old
1,Hemiksem,Maison,None,249000,notariale,3,None,0,0,0,None,None,1,None,None,None,2,0,None
2,Willebroek,Maison,Maison de ville,460000,notariale,5,145,0,0,0,True,44,0,None,None,243,2,0,old
3,Willebroek,Maison,Usage mixte,460000,notariale,5,145,0,0,0,True,44,0,None,None,243,2,0,old
4,Hoboken,Maison,None,375000,notariale,5,258,0,0,0,None,None,1,None,None,260,3,0,None
5,Putte,Maison,Maison unifamiliale,469000,notariale,8,160,0,0,0,True,12,0,None,None,600,3,0,None
6,Ravels,Appartement,App. rez-de-chaussée,244000,notariale,3,102,0,0,0,None,None,0,None,None,None,4,0,old
7,Antwerpen,Appartement,None,590000,notariale,1,None,0,0,0,None,None,0,None,None,None,None,0,None
8,Hoboken,Maison,Maison deux facades,264900,notariale,4,None,0,0,0,None,None,0,None,None,None,None,0,None
9,Wilrijk,Appartement,None,259000,notariale,4,117,0,0,0,True,5,0,None,None,None,3,0,old
0,Bornem,Appartement,None,234000.0,notariale,3,82,0,0,0,True,10,1,82,None,None,2,0,old
1,None,Appartement,Loft,None,notariale,4,490,0,0,0,True,32,0,None,None,None,None,0,old
2,Lier,Maison,Maison deux facades,249000.0,notariale,4,110,0,0,0,None,None,1,None,None,105,2,0,old
3,Antwerpen,Appartement,None,175000.0,notariale,1,56,0,0,0,True,50,0,None,None,None,2,0,old
4,None,Maison,Villa,None,notariale,5,307,0,0,0,None,None,1,None,None,814,4,0,new
5,Arendonk,Appartement,None,224196.0,notariale,2,None,0,0,0,None,None,0,None,None,None,None,0,old
6,Arendonk,Appartement,Immeuble d'appartements,276751.0,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,old
7,Hoboken,Maison,None,219000.0,notariale,4,125,0,0,0,None,None,0,75,20,95,2,0,None
8,Balen,Appartement,Immeuble d'appartements,232793.0,notariale,3,102,0,0,0,None,None,0,None,None,None,3,0,old
9,Meerhout,Appartement,None,109900.0,notariale,2,41,0,0,0,None,None,0,None,None,None,None,0,old
0,Antwerpen,Maison,None,420000,notariale,8,51,0,0,0,None,None,0,None,None,52,2,0,old
1,Ekeren,Appartement,None,315000,notariale,3,114,0,0,0,None,None,0,None,None,None,2,0,old
2,Mol,Appartement,Serviceflat,235000,notariale,2,36,0,0,0,None,None,0,None,None,36,2,0,None
3,Antwerpen,Maison,Maison unifamiliale,249500,notariale,4,134,0,0,0,None,None,0,43,0,43,2,0,None
4,Turnhout,Appartement,None,239000,notariale,5,140,0,0,0,True,4,0,None,None,None,2,0,old
5,Antwerpen,Appartement,Penthouse,220000,notariale,2,60,0,0,0,True,9,0,None,None,None,2,0,None
6,Antwerpen,Maison,Bel-étage,315000,notariale,6,160,0,0,0,True,7,0,61,None,None,2,0,None
7,Boechout,Maison,None,349000,notariale,6,220,0,0,0,None,None,1,None,None,332,2,0,old
8,Hoboken,Maison,Usage mixte,575000,notariale,7,420,0,0,0,True,34,0,None,None,240,2,0,new
9,Borgerhout,Maison,Maison unifamiliale,295000,notariale,3,126,0,0,0,None,None,1,None,None,255,3,0,new
0,Niel,Appartement,None,280000,notariale,6,128,0,0,0,True,50,0,None,None,None,2,0,old
1,Lier,Maison,Usage mixte,395000,notariale,3,209,0,0,0,True,33,0,209,-179,30,2,0,new
2,'s Gravenwezel,Maison,Maison unifamiliale,445000,notariale,5,None,0,0,0,None,None,1,None,None,402,3,0,old
3,Mortsel,Maison,None,385000,notariale,5,270,0,0,0,True,20,0,None,None,None,3,0,None
4,Mortsel,Maison,None,930000,notariale,12,None,0,0,0,None,None,1,102,178,280,2,0,new
5,Bonheiden,Appartement,None,264000,notariale,4,96,0,0,0,None,None,0,None,None,None,3,0,None
6,Hulshout,Maison,None,295000,notariale,5,None,0,0,0,None,None,1,None,None,None,3,0,new
7,Antwerpen,Maison,None,399900,notariale,4,190,0,0,0,True,5,0,None,None,None,2,0,new
8,Antwerpen,Maison,None,325000,notariale,7,190,0,0,0,True,15,0,None,None,105,2,0,old
9,Herentals,Appartement,None,135000,notariale,2,51,0,0,0,True,7,0,None,None,None,None,0,old
0,Turnhout,Appartement,Triplex,295000,notariale,5,182,0,0,0,None,None,0,None,None,294,None,0,old
1,Willebroek,Maison,Villa,1259000,notariale,8,432,0,0,0,None,None,1,432,362,794,4,0,old
2,Antwerpen,Appartement,None,249000,notariale,2,90,0,0,0,True,8,0,None,None,90,2,0,None
3,Lippelo,Maison,None,370000,notariale,6,20,0,0,0,None,None,0,None,None,54,2,0,old
4,Berchem,Maison,None,350000,notariale,1,None,0,0,0,None,None,0,None,None,None,None,0,None
5,Vosselaar,Maison,None,334000,notariale,3,None,0,0,0,None,None,0,None,None,None,None,0,None
6,Antwerpen,Maison,None,2100000,notariale,8,None,0,0,0,None,None,0,None,None,None,2,0,new
7,Geel,Appartement,None,303168,notariale,3,111,0,0,0,True,15,0,None,None,None,None,0,old
8,Geel,Appartement,None,236570,notariale,3,95,0,0,0,True,11,0,None,None,None,None,0,old
