,locality,type of property,subtype of property,price,sale type,number of rooms,area,kitchen equipment,furnished,open fire,terrace,terrace area,garden,garden area,surface land,surface plot land,number of facades,swimming pool,building state,build year,epc,url
9,Bekkevoort,Appartement,Duplex,289500,agence,4,,0,0,0,,,0,,,576,,0,old,2021,,https://www.zimmo.be/fr/bekkevoort-3460/a-vendre/appartement/JVNWM/
0,Tremelo,Maison,,530000,notariale,6,295,0,0,0,,,1,,,,4,0,,1960,540,https://www.zimmo.be/fr/tremelo-3120/a-vendre/maison/JY3LU/
1,Rotselaar,Maison,,349000,notariale,5,240,0,0,0,True,30,1,,,,4,0,,2021,,https://www.zimmo.be/fr/rotselaar-3110/a-vendre/maison/JY3LV/
2,Vilvoorde,Maison,,400000,notariale,5,168,0,0,0,True,30,0,,,,2,0,,1931,333,https://www.zimmo.be/fr/vilvoorde-1800/a-vendre/maison/JY3KZ/
3,Merchtem,Appartement,,199000,notariale,3,60,0,0,0,,,0,,,,3,0,,2008,124,https://www.zimmo.be/fr/merchtem-1785/a-vendre/appartement/JY3KH/
4,Diest,Bien professionnel,,379000,notariale,7,341,0,0,0,,,0,,,,2,0,,,,https://www.zimmo.be/fr/diest-3290/a-vendre/bien-professionnel/JY3JK/
5,Rotselaar,Maison,,290000,notariale,0,,0,0,0,,,0,,,,,0,,,,https://www.zimmo.be/fr/rotselaar-3110/a-vendre/maison/JY3FT/
6,Leuven,Appartement,Duplex,455000,notariale,4,109,0,0,0,True,60,0,,,,2,0,,2012,,https://www.zimmo.be/fr/leuven-3000/a-vendre/appartement/JY3HK/
7,Leuven,Appartement,Penthouse,455000,notariale,4,109,0,0,0,True,60,0,,,,2,0,,2012,,https://www.zimmo.be/fr/leuven-3000/a-vendre/appartement/JY3HJ/
8,Diest,Bien professionnel,,549000,notariale,8,366,0,0,0,True,8,0,,,,3,0,,,201,https://www.zimmo.be/fr/diest-3290/a-vendre/bien-professionnel/JY3HF/
